,id,title,release_date,vote_average
5199,637,Life Is Beautiful,1997-12-20,8.448
5200,278,The Shawshank Redemption,1994-09-23,8.708
5201,238,The Godfather,1972-03-14,8.689
5202,240,The Godfather Part II,1974-12-20,8.6
5203,424,Schindler's List,1993-12-15,8.567
5204,389,12 Angry Men,1957-04-10,8.546
5205,129,Spirited Away,2001-07-20,8.5
5206,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5207,155,The Dark Knight,2008-07-16,8.519
5208,497,The Green Mile,1999-12-10,8.506
5209,496243,Parasite,2019-05-30,8.5
5210,680,Pulp Fiction,1994-09-10,8.488
5211,372058,Your Name.,2016-08-26,8.486
5212,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5213,13,Forrest Gump,1994-06-23,8.469
5214,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5215,346,Seven Samurai,1954-04-26,8.5
5216,769,GoodFellas,1990-09-12,8.458
5217,12477,Grave of the Fireflies,1988-04-16,8.453
5218,157336,Interstellar,2014-11-05,8.4
5219,637,Life Is Beautiful,1997-12-20,8.448
5220,278,The Shawshank Redemption,1994-09-23,8.708
5221,238,The Godfather,1972-03-14,8.689
5222,240,The Godfather Part II,1974-12-20,8.6
5223,424,Schindler's List,1993-12-15,8.567
5224,389,12 Angry Men,1957-04-10,8.546
5225,129,Spirited Away,2001-07-20,8.5
5226,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5227,155,The Dark Knight,2008-07-16,8.519
5228,497,The Green Mile,1999-12-10,8.506
5229,496243,Parasite,2019-05-30,8.5
5230,680,Pulp Fiction,1994-09-10,8.488
5231,372058,Your Name.,2016-08-26,8.486
5232,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5233,13,Forrest Gump,1994-06-23,8.469
5234,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5235,346,Seven Samurai,1954-04-26,8.5
5236,769,GoodFellas,1990-09-12,8.458
5237,12477,Grave of the Fireflies,1988-04-16,8.453
5238,157336,Interstellar,2014-11-05,8.4
5239,637,Life Is Beautiful,1997-12-20,8.448
5240,278,The Shawshank Redemption,1994-09-23,8.708
5241,238,The Godfather,1972-03-14,8.689
5242,240,The Godfather Part II,1974-12-20,8.6
5243,424,Schindler's List,1993-12-15,8.567
5244,389,12 Angry Men,1957-04-10,8.546
5245,129,Spirited Away,2001-07-20,8.5
5246,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5247,155,The Dark Knight,2008-07-16,8.519
5248,497,The Green Mile,1999-12-10,8.506
5249,496243,Parasite,2019-05-30,8.5
5250,680,Pulp Fiction,1994-09-10,8.488
5251,372058,Your Name.,2016-08-26,8.486
5252,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5253,13,Forrest Gump,1994-06-23,8.469
5254,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5255,346,Seven Samurai,1954-04-26,8.5
5256,769,GoodFellas,1990-09-12,8.458
5257,12477,Grave of the Fireflies,1988-04-16,8.453
5258,157336,Interstellar,2014-11-05,8.4
5259,637,Life Is Beautiful,1997-12-20,8.448
5260,278,The Shawshank Redemption,1994-09-23,8.708
5261,238,The Godfather,1972-03-14,8.689
5262,240,The Godfather Part II,1974-12-20,8.6
5263,424,Schindler's List,1993-12-15,8.567
5264,389,12 Angry Men,1957-04-10,8.546
5265,129,Spirited Away,2001-07-20,8.5
5266,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5267,155,The Dark Knight,2008-07-16,8.519
5268,497,The Green Mile,1999-12-10,8.506
5269,496243,Parasite,2019-05-30,8.5
5270,680,Pulp Fiction,1994-09-10,8.488
5271,372058,Your Name.,2016-08-26,8.486
5272,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5273,13,Forrest Gump,1994-06-23,8.469
5274,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5275,346,Seven Samurai,1954-04-26,8.5
5276,769,GoodFellas,1990-09-12,8.458
5277,12477,Grave of the Fireflies,1988-04-16,8.453
5278,157336,Interstellar,2014-11-05,8.4
5279,637,Life Is Beautiful,1997-12-20,8.448
5280,278,The Shawshank Redemption,1994-09-23,8.708
5281,238,The Godfather,1972-03-14,8.689
5282,240,The Godfather Part II,1974-12-20,8.6
5283,424,Schindler's List,1993-12-15,8.567
5284,389,12 Angry Men,1957-04-10,8.546
5285,129,Spirited Away,2001-07-20,8.5
5286,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5287,155,The Dark Knight,2008-07-16,8.519
5288,497,The Green Mile,1999-12-10,8.506
5289,496243,Parasite,2019-05-30,8.5
5290,680,Pulp Fiction,1994-09-10,8.488
5291,372058,Your Name.,2016-08-26,8.486
5292,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5293,13,Forrest Gump,1994-06-23,8.469
5294,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5295,346,Seven Samurai,1954-04-26,8.5
5296,769,GoodFellas,1990-09-12,8.458
5297,12477,Grave of the Fireflies,1988-04-16,8.453
5298,157336,Interstellar,2014-11-05,8.4
5299,637,Life Is Beautiful,1997-12-20,8.448
5300,278,The Shawshank Redemption,1994-09-23,8.708
5301,238,The Godfather,1972-03-14,8.689
5302,240,The Godfather Part II,1974-12-20,8.6
5303,424,Schindler's List,1993-12-15,8.567
5304,389,12 Angry Men,1957-04-10,8.546
5305,129,Spirited Away,2001-07-20,8.5
5306,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5307,155,The Dark Knight,2008-07-16,8.519
5308,497,The Green Mile,1999-12-10,8.506
5309,496243,Parasite,2019-05-30,8.5
5310,680,Pulp Fiction,1994-09-10,8.488
5311,372058,Your Name.,2016-08-26,8.486
5312,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5313,13,Forrest Gump,1994-06-23,8.469
5314,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5315,346,Seven Samurai,1954-04-26,8.5
5316,769,GoodFellas,1990-09-12,8.458
5317,12477,Grave of the Fireflies,1988-04-16,8.453
5318,157336,Interstellar,2014-11-05,8.4
5319,637,Life Is Beautiful,1997-12-20,8.448
5320,278,The Shawshank Redemption,1994-09-23,8.708
5321,238,The Godfather,1972-03-14,8.689
5322,240,The Godfather Part II,1974-12-20,8.6
5323,424,Schindler's List,1993-12-15,8.567
5324,389,12 Angry Men,1957-04-10,8.546
5325,129,Spirited Away,2001-07-20,8.5
5326,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5327,155,The Dark Knight,2008-07-16,8.519
5328,497,The Green Mile,1999-12-10,8.506
5329,496243,Parasite,2019-05-30,8.5
5330,680,Pulp Fiction,1994-09-10,8.488
5331,372058,Your Name.,2016-08-26,8.486
5332,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5333,13,Forrest Gump,1994-06-23,8.469
5334,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5335,346,Seven Samurai,1954-04-26,8.5
5336,769,GoodFellas,1990-09-12,8.458
5337,12477,Grave of the Fireflies,1988-04-16,8.453
5338,157336,Interstellar,2014-11-05,8.4
5339,637,Life Is Beautiful,1997-12-20,8.448
5340,278,The Shawshank Redemption,1994-09-23,8.708
5341,238,The Godfather,1972-03-14,8.689
5342,240,The Godfather Part II,1974-12-20,8.6
5343,424,Schindler's List,1993-12-15,8.567
5344,389,12 Angry Men,1957-04-10,8.546
5345,129,Spirited Away,2001-07-20,8.5
5346,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5347,155,The Dark Knight,2008-07-16,8.519
5348,497,The Green Mile,1999-12-10,8.506
5349,496243,Parasite,2019-05-30,8.5
5350,680,Pulp Fiction,1994-09-10,8.488
5351,372058,Your Name.,2016-08-26,8.486
5352,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5353,13,Forrest Gump,1994-06-23,8.469
5354,429,"The Good, the Bad and the Ugly",1966-12-22,8.5
5355,346,Seven Samurai,1954-04-26,8.5
5356,769,GoodFellas,1990-09-12,8.458
5357,12477,Grave of the Fireflies,1988-04-16,8.453
5358,157336,Interstellar,2014-11-05,8.4
5359,637,Life Is Beautiful,1997-12-20,8.448
5360,278,The Shawshank Redemption,1994-09-23,8.708
5361,238,The Godfather,1972-03-14,8.689
5362,240,The Godfather Part II,1974-12-20,8.6
5363,424,Schindler's List,1993-12-15,8.567
5364,389,12 Angry Men,1957-04-10,8.546
5365,129,Spirited Away,2001-07-20,8.5
5366,19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.522
5367,155,The Dark Knight,2008-07-16,8.519
5368,497,The Green Mile,1999-12-10,8.506
5369,496243,Parasite,2019-05-30,8.5
5370,680,Pulp Fiction,1994-09-10,8.488
5371,372058,Your Name.,2016-08-26,8.486
5372,122,The Lord of the Rings: The Return of the King,2003-12-17,8.483
5373,13,Forrest Gump,1994-06-23,8.469
